app_name,categoryId,reviewId,sentenceId,feature,review,sentence,emotion-primary-agreement
Instagram,SOCIAL,7da1ccec-1288-47b7-907a-df55bf2534fa,0,Networking,Excellent app for social networking and one of the top highest users app in India,Excellent app for social networking and one of the top highest users app in India,Joy
Telegram,COMMUNICATION,5075ed53-3226-4821-b008-8f812b10a7fc,0,Chat,Chat panna super app very nice to see you in the society about my fashion my thinking of Kollywood box-office king of Kollywood box-office king,Chat panna super app very nice to see you in the society about my fashion my thinking of Kollywood box-office king of Kollywood box-office king,Joy
Pomodoro Timer,PRODUCTIVITY,4880ba63-93ee-4429-8453-f6a38a3a2a24,0,Clean design,"Great timer app, easy to use and clean design. I hope that posting a review stops it nagging me for a rating every day!","Great timer app, easy to use and clean design.",Joy
Loop Habit Tracker,PRODUCTIVITY,af7665e1-c11a-49eb-bede-e1ff648e1a19,2,Habit Tracker,The UI on this app is quite good. It is very clean and easy to use! Thanks Loop Habit Tracker!,Thanks Loop Habit Tracker!,Joy
Pomodoro Timer,PRODUCTIVITY,83227e25-b2f8-487c-a265-5fcbebf64f4b,0,Minimalistic,"Minimalistic, easy to use, ads free(for now), very nice app!","Minimalistic, easy to use, ads free(for now), very nice app!",Joy
Weather Live - Widgets & Radar,WEATHER,5c9ff790-bb03-4486-a05f-8d6c8133f9ce,0,Transparency,I like the size options and you can control transparency,I like the size options and you can control transparency,Joy
ColorNote Notepad Notes,PRODUCTIVITY,99929715-19dd-4200-bb0c-ce5066543810,1,Synchronization,The best I know of. Still fabulous 6 years later on multiple devices synchronization included!,Still fabulous 6 years later on multiple devices synchronization included!,Joy
Stopwatch Timer,TOOLS,8a4653b8-3b1b-4c20-b047-ad0e1867cfa4,0,Stopwatch,Wonderful stopwatch,Wonderful stopwatch,Joy
Geometric Weather,WEATHER,99b40b76-6527-45da-bf6a-8a8086861c17,2,Clean design,"It's the tops! Delve as quickly or deeply into the weather details as you like. Clean design, well organized, and thorough.","Clean design, well organized, and thorough.",Joy
ColorNote Notepad Notes,PRODUCTIVITY,60beb36c-cfb1-44e8-94f4-6b1c770bb45c,0,Text formatting,"Very nice, easy to store information in text format.","Very nice, easy to store information in text format.",Joy
ColorNote Notepad Notes,PRODUCTIVITY,9846a7c3-6e0c-486e-8610-9ba8e6c4b0a5,1,Grocery List,Easy to use. Keeps my notes and grocery lists. Auto saves my notes.,Keeps my notes and grocery lists.,Joy
Google Maps Go,TRAVEL_AND_LOCAL,1c9f5b76-3ecb-416d-afc2-051e5d528d16,4,Lightweight,"Can't praise it much as it is literally a app that redirects you to the Google maps page in a chromium browser. As I have brave browser installed, it just opens that. Once you navigate, it'll ask you to install navigator for maps go. And that's the app, overall you installed a shortcut to google map and the page navigate using a separate app. The positive it's a very lightweight and doesn't slow down and gets bloated like Google maps does.",The positive it's a very lightweight and doesn't slow down and gets bloated like Google maps does.,Joy
Verizon Messages,COMMUNICATION,3e3a2aad-cb8f-4fdb-b33e-7df2cd16c95c,0,Customizing,Love it & the customizing you can do to your contacts! ❤️,Love it & the customizing you can do to your contacts!,Joy
Lose Weight at Home in 30 Days,HEALTH_AND_FITNESS,09e67ae2-2c47-4615-938c-99aee96c36e3,0,Food suggestions,Good exercise and good food suggestions morning exercise give a special energy😊,Good exercise and good food suggestions morning exercise give a special energy😊,Joy
OpenWeather,WEATHER,5e10670b-3457-4027-99d7-77a1067afe9a,0,Clean design,Love the clean design and lack of ads. I would happily pay a small fee for it. The biggest things I wish it had were a way to see the radar and notifications in the event of precipitation in the very near future.,Love the clean design and lack of ads.,Joy
Notepad - simple notes,PRODUCTIVITY,252af8ee-4061-4a80-a393-125b0893a3df,0,Share notes,"Love it, can save a lot of info and also share notes,with mike you can speak and convert to text 😍","Love it, can save a lot of info and also share notes,with mike you can speak and convert to text 😍",Joy
ColorNote Notepad Notes,PRODUCTIVITY,f2e2793f-29c1-4a16-8889-2f8dcb281bc9,2,File transfer,"Simple, easy, does everything I need. No extra nonsense - just a straightforward and practical tool. You can make general notes and checklists, and tag each with a different color. Notes are lockable, so you could use it for storing passwords or private thoughts, etc. I've used this app for years across multiple phones, and the files transfer easily during the new phone swap process.","You can make general notes and checklists, and tag each with a different color.",Joy
CityMaps2Go  Offline Maps for,MAPS_AND_NAVIGATION,b7442944-bb11-4685-ba8e-5f4f47416903,0,Works Offline,Works offline,Works offline,Joy
ColorNote Notepad Notes,PRODUCTIVITY,329fba26-f22f-482b-bdba-8b6bea289455,1,tutorials,"Brilliant app with a very helpful tutorial. Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)","Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)",Joy
ColorNote Notepad Notes,PRODUCTIVITY,329fba26-f22f-482b-bdba-8b6bea289455,1,Cloud Storage,"Brilliant app with a very helpful tutorial. Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)","Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)",Joy
GPS Running Cycling & Fitness,HEALTH_AND_FITNESS,917e6f10-641d-428a-93fc-7921b55f2cef,1,Synchronization,"No-nonsense, non-bloated, and technically superior. Great features such as synchronization to Google Fit and GPX file export and backup. So many other apps have excessive privilege requirements, huge annoying advertisements, etc.... this one doesn't! There are some improvements to be made to the UI, but nothing that is a dealbreaker.",Great features such as synchronization to Google Fit and GPX file export and backup.,Joy
ColorNote Notepad Notes,PRODUCTIVITY,efb5f618-d1ef-49d3-8ac6-9d7c41898273,0,Sync Across Devices,"Handy, easy to use and syncs across devices. No reason to look elsewhere. I just noticed I've been using this note app for about 9 years, and I still love it. It's simple, the interface is clean and uncluttered unlike the note apps from Google and Microsoft. This is a great app! Thanks!","Handy, easy to use and syncs across devices.",Joy
Telegram,COMMUNICATION,511945e7-0df5-4c6f-b0d8-c99fe17fd609,0,Cloud Storage,"The best app with overall skill- fastest messaging, highest security, personal cloud storage, optimized on memory and battery usage. Only a better UI is needed to race with the Facebook Messenger. edit: let us hide All Chats tab! Annoying! And wahtsapp runs better on low ram device than Telegram!","The best app with overall skill- fastest messaging, highest security, personal cloud storage, optimized on memory and battery usage.",Joy
Repeat Habit - Habit tracker f,PRODUCTIVITY,b424432f-409d-41ba-96c9-4d6c31811f5a,0,Lightweight,"Lightweight, no habit limits, good customization. Of all apps I tested this one is my favorite","Lightweight, no habit limits, good customization.",Joy
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,10607aac-4647-45d4-a00f-beab5e750606,0,Diary,"This is a very nice app/ Diary with nice features, one thing i would suggest is that when you write in a particular folder it keeps a copy in the recent also which is not required. The rest is beautiful !",This is a very nice app/,Joy
Lose Weight at Home in 30 Days,HEALTH_AND_FITNESS,2942ab0b-3134-4674-a711-79d215256fdc,0,Planner,It's good and great and it's has a meal planner it's quite helpful. For all struggles to lose weight this app is for you if you don't do the exercises you can't lose the weight of your's,It's good and great and it's has a meal planner it's quite helpful.,Joy
Microsoft OneNote: Save Notes,PRODUCTIVITY,e4ac8ec9-3c26-4427-992c-ced64be7f92d,0,Share notes,"great for sharing notes, lists, etc between devices.","great for sharing notes, lists, etc between devices.",Joy
Pomodoro Timer,PRODUCTIVITY,2a4016c8-f8cb-4097-8aac-92a19598d425,0,Minimalistic,"Minimalistic, but useful app without ads. Reccomend","Minimalistic, but useful app without ads.",Joy
Samsung Notes,PRODUCTIVITY,ec9441c2-f9c3-4b59-805b-a93a3bbe7e27,2,Hyperlinks,"Hope there will be a dark mode pdf, and lets user make a customized page sizes, either portrait or landscape. Different fonts would also be useful, and a option to make a fave pens landscape. Also hyperlinks working while editing",Also hyperlinks working while editing,Joy
