app_name,categoryId,reviewId,sentenceId,feature,review,sentence,emotion-primary-agreement
Snapchat,COMMUNICATION,db00e224-b3f1-4a2c-bab3-cf75fd4866d0,1,Replay,Shittiest bugs going on in app. Stories are replaying and starting over again and again.,Stories are replaying and starting over again and again.,Sadness
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,22687959-1d6b-4ddb-a5d5-a9e75c80f79a,1,Bookmarks,Great idea but continues to be flakey. I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites). I am a full time traveller and cannot trust the app at all now. A years data in favourites lost again. Had such promise but never improves. Avoid.,I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites).,Sadness
GPS Map Camera,TRAVEL_AND_LOCAL,4f79f7d7-c1f4-4362-bf2e-412f8d5a3a86,0,Tagging,When I installed this I can't make settings which shows longitude and latitude Geo tagging considered... Plz fix this issue and this app is not working same as in all mobiles,When I installed this I can't make settings which shows longitude and latitude Geo tagging considered...,Sadness
Samsung Notes,PRODUCTIVITY,c455881c-b04c-4808-bbf0-aa8f759d85db,0,Notifications,cannot turn off sync request notification,cannot turn off sync request notification,Sadness
Messages,COMMUNICATION,82d9753a-0d97-4601-89b8-e7520cad6bce,2,Chat,"Excellent spam control, RCS works except when it doesn't and breaks all communication, excellent UI though it takes a moment to load everytime I open the app. Quality just need improvement. Just that RCS/Chat function has regular failures unfortunately.",Just that RCS/Chat function has regular failures unfortunately.,Sadness
Clock,TOOLS,4989bcac-933d-4a02-8623-9ef0b121906d,0,Timer,My timers never go off anymore.,My timers never go off anymore.,Sadness
MCBackup - My Contacts Backup,PRODUCTIVITY,f84bbf67-38a0-48e7-a966-baade1ccebdc,0,Backup to Google Drive,Will not backup to Google Drive or via Bluetooth,Will not backup to Google Drive or via Bluetooth,Sadness
Clock,TOOLS,e61f33b6-4930-4795-8eb1-ee5661f21274,4,Clock widget,"Hey guys, I have encountered a bit of an annoying bug on my Pixel 4A. I changed my screen wallpaper today and chose a different color theme but my digital clock widget still stayed in previous color. Rebooting and removing the widget and placing again didn't help. It's still pale pink instead of green. Other clock widgets also still have the old pink color.",Other clock widgets also still have the old pink color.,Sadness
blocos - time block & daily pl,PRODUCTIVITY,8053cf11-8403-41bd-bf52-13294fe1f2cd,2,Sync Across Devices,I really love this app. Helps me get organized. it doesn't seem to sync across devices is my only complaint.,it doesn't seem to sync across devices is my only complaint.,Sadness
Loop Habit Tracker,PRODUCTIVITY,2a3708ba-7e06-4259-9b24-df8a72c69689,0,Push Notifications,"App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action. Entering daily mesurable data is finicky. Need to feel effortless to use but falls short of this.","App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action.",Sadness
Weather Radar Widget,WEATHER,7f44be9b-458d-4aa8-9bbd-27abf588838e,1,Dating,Same problem as a few other reviews I read. After placing the widget I either got the 'download failed' or endless 'updating' message. Just didn't work.,After placing the widget I either got the 'download failed' or endless 'updating' message.,Sadness
